GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,net.sf.lavalamp.properties,Off,0,40,0,0,0,10,0,6,0,6
JaCoCo Ant Example,net.sf.lavalamp.properties,MissingPropertyExceptionTest,0,35,0,0,0,8,0,3,0,3
JaCoCo Ant Example,net.sf.lavalamp.properties,MissingPropertyException,0,9,0,0,0,4,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.application,WebRunTest,45,202,0,0,6,38,2,9,2,9
JaCoCo Ant Example,net.sf.lavalamp.application,AlwaysOffTest,0,45,0,0,0,9,0,3,0,3
JaCoCo Ant Example,net.sf.lavalamp.application,UniversalRunner,17,38,0,2,3,11,1,3,1,2
JaCoCo Ant Example,net.sf.lavalamp.application,BuildStatusServletTest,0,104,0,0,0,18,0,4,0,4
JaCoCo Ant Example,net.sf.lavalamp.application,ApplicationPropertiesWebTest,0,59,0,0,0,15,0,5,0,5
JaCoCo Ant Example,net.sf.lavalamp.application,ApplicationPropertiesLoader,0,17,0,0,0,5,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.application,WebRun,52,173,1,5,5,36,1,9,0,7
JaCoCo Ant Example,net.sf.lavalamp.application,EmbeddedWebRun,27,17,0,0,8,4,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.application,UniversalRunnerTest,0,108,0,0,0,20,0,5,0,5
JaCoCo Ant Example,net.sf.lavalamp.application,BuildStatusServlet,0,83,0,2,0,21,0,3,0,2
JaCoCo Ant Example,net.sf.lavalamp.application,DefaultApplication,4,12,0,0,2,5,1,3,1,3
JaCoCo Ant Example,net.sf.lavalamp.application,ApplicationPropertiesTest,0,37,0,0,0,9,0,4,0,4
JaCoCo Ant Example,net.sf.lavalamp.application,ApplicationProperties,0,83,0,2,0,19,0,12,0,11
JaCoCo Ant Example,net.sf.lavalamp.application,AlwaysOff,0,37,0,0,0,13,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.site.impl,Bamboo3RestApiTest,0,112,0,0,0,23,0,5,0,5
JaCoCo Ant Example,net.sf.lavalamp.site.impl,BambooRestApi,0,70,0,4,0,13,0,6,0,4
JaCoCo Ant Example,net.sf.lavalamp.site.impl,BambooSiteTest,52,310,0,0,12,52,3,9,3,9
JaCoCo Ant Example,net.sf.lavalamp.site.impl,Hudson,0,76,0,4,0,10,0,6,0,4
JaCoCo Ant Example,net.sf.lavalamp.site.impl,HudsonTest,16,244,0,0,4,44,1,8,1,8
JaCoCo Ant Example,net.sf.lavalamp.site.impl,BambooRestApiTest,16,369,0,0,4,67,1,10,1,10
JaCoCo Ant Example,net.sf.lavalamp.site.impl,BambooRemoteApiTest,29,31,0,0,7,8,1,3,1,3
JaCoCo Ant Example,net.sf.lavalamp.site.impl,Bamboo3RestApi,0,35,0,0,0,4,0,2,0,2
JaCoCo Ant Example,net.sf.lavalamp.site.impl,BambooRemoteApi,9,129,0,6,1,20,1,11,1,8
JaCoCo Ant Example,net.sf.lavalamp.site,SiteProperties,0,47,0,0,0,12,0,8,0,8
JaCoCo Ant Example,net.sf.lavalamp.site,BuildChecker,0,48,0,0,0,12,0,3,0,3
