GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,org.saxpath,XPathSyntaxException,86,0,2,0,20,0,7,0,6,0
JaCoCo Ant Example,org.saxpath,SAXPathParseException,4,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,org.saxpath,Axis,113,0,40,0,43,0,29,0,3,0
JaCoCo Ant Example,org.saxpath,AxisEvoSuiteTest,245,0,0,0,101,0,30,0,30,0
JaCoCo Ant Example,org.saxpath,SAXPathException,47,0,4,0,18,0,8,0,6,0
JaCoCo Ant Example,org.saxpath.conformance,ConformanceXPathHandlerEvoSuiteTest,548,0,0,0,188,0,47,0,47,0
JaCoCo Ant Example,org.saxpath.conformance,ConformanceXPathHandler,418,0,4,0,104,0,50,0,48,0
JaCoCo Ant Example,com.werken.saxpath,TokenEvoSuiteTest,45,0,0,0,13,0,3,0,3,0
JaCoCo Ant Example,com.werken.saxpath,XPathReader,1141,0,144,0,373,0,128,0,42,0
JaCoCo Ant Example,com.werken.saxpath,XPathLexer,1030,0,114,0,250,0,113,0,44,0
JaCoCo Ant Example,com.werken.saxpath,DefaultXPathHandler,49,0,0,0,47,0,46,0,46,0
JaCoCo Ant Example,com.werken.saxpath,XPathReaderEvoSuiteTest,250,0,0,0,109,0,20,0,20,0
JaCoCo Ant Example,com.werken.saxpath,DefaultXPathHandler.Singleton,8,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,com.werken.saxpath,XPathLexerEvoSuiteTest,205,0,0,0,61,0,14,0,14,0
JaCoCo Ant Example,com.werken.saxpath,Token,65,0,0,0,19,0,10,0,10,0
JaCoCo Ant Example,com.werken.saxpath,DefaultXPathHandlerEvoSuiteTest,294,0,0,0,139,0,47,0,47,0
JaCoCo Ant Example,org.saxpath.helpers,XPathReaderFactory,107,0,12,0,32,0,10,0,4,0
JaCoCo Ant Example,org.saxpath.helpers,DefaultXPathHandler,47,0,0,0,46,0,45,0,45,0
JaCoCo Ant Example,org.saxpath.helpers,XPathReaderFactoryEvoSuiteTest,16,0,0,0,7,0,3,0,3,0
JaCoCo Ant Example,org.saxpath.helpers,DefaultXPathHandlerEvoSuiteTest,334,0,0,0,133,0,45,0,45,0
