GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model,MenuStructureException,4,0,0,0,2,0,1,0,1,0
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu,BluepenguinMenu,130,0,10,0,38,0,9,0,4,0
JaCoCo Ant Example,ch.bluepenguin.email.client,IDGenerator,12,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,ch.bluepenguin.email.client,MailMessage,25,0,0,0,9,0,6,0,6,0
JaCoCo Ant Example,ch.bluepenguin.email.client,Person,39,0,0,0,15,0,10,0,10,0
JaCoCo Ant Example,ch.bluepenguin.email.client,Account,18,0,0,0,6,0,4,0,4,0
JaCoCo Ant Example,ch.bluepenguin.email.client,AbstractUniqueID,42,0,4,0,12,0,6,0,4,0
JaCoCo Ant Example,ch.bluepenguin.email.client,Folder,51,0,0,0,20,0,12,0,12,0
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model.impl,MenuItemList,110,0,12,0,25,0,14,0,8,0
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model.impl,DefaultMenuModel,316,0,40,0,74,0,34,0,14,0
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model.impl,DefaultMenuItem,61,0,0,0,26,0,16,0,16,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry.tests,TreeModelBuilderTestCase,3,0,0,0,1,0,1,0,1,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry.helpers,FolderTreeNode,58,0,8,0,19,0,11,0,7,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry.helpers,TreeModelHelper,101,0,4,0,27,0,6,0,4,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry.helpers,DisplayHelper,64,0,4,0,17,0,9,0,7,0
JaCoCo Ant Example,ch.bluepenguin.email.client.cache,MailCache,172,0,0,0,36,0,6,0,6,0
JaCoCo Ant Example,ch.bluepenguin.email.client.cache,HierarchicalElement,11,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,ch.bluepenguin.email.client.service.impl,DummyEmailFacadeImpl,256,0,4,0,48,0,14,0,12,0
JaCoCo Ant Example,ch.bluepenguin.email.client.service.impl,EmailFacadeState,80,0,10,0,24,0,11,0,6,0
JaCoCo Ant Example,ch.bluepenguin.email.client.service.impl,EmailFacadeImpl,1025,0,64,0,208,0,57,0,25,0
JaCoCo Ant Example,ch.bluepenguin.email.aop,DebugAfterReturnAdvice,89,0,4,0,11,0,6,0,4,0
JaCoCo Ant Example,ch.bluepenguin.email.aop,FormatterMethodAdvice,55,0,4,0,12,0,4,0,2,0
JaCoCo Ant Example,ch.bluepenguin.email.client.service,EmailFacadeException,10,0,0,0,4,0,3,0,3,0
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.renderer.impl,GenericMarkupMenuItemRenderer,64,0,6,0,18,0,9,0,6,0
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.renderer.impl,DirectLinkMenuItemRenderer,64,0,2,0,21,0,6,0,5,0
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.renderer.impl,HyperlinkMenuItemRenderer,43,0,2,0,16,0,5,0,4,0
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.renderer.impl,DefaultMenuItemRenderer,19,0,2,0,7,0,3,0,2,0
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.renderer.impl,AbstractMenuItemRenderer,23,0,0,0,11,0,4,0,4,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tests,AOPTest,26,3,0,0,6,1,2,1,2,1
JaCoCo Ant Example,ch.bluepenguin.email.client.tests,EmailFacadeTest,273,3,20,0,41,1,16,1,6,1
JaCoCo Ant Example,ch.bluepenguin.email.client.tests,SpringTestBase,12,3,0,0,3,1,1,1,1,1
JaCoCo Ant Example,ch.bluepenguin.email.client.tests,MailCacheTest,116,3,6,0,23,1,6,1,3,1
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry,Home,14,0,0,0,5,0,2,0,2,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry,SpringEngine,28,0,2,0,8,0,3,0,2,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry,MessageList,206,0,18,0,45,0,17,0,8,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry,MessageView,172,0,8,0,53,0,17,0,13,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry,Visit,10,0,0,0,4,0,3,0,3,0
