GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,SchemaMeta,280,38,18,2,57,7,15,1,5,1
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,TableColumnMeta,373,0,46,0,79,0,41,0,18,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,TableMeta,143,0,12,0,28,0,13,0,7,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model.xml,ForeignKeyMeta,116,0,8,0,22,0,11,0,7,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,Dot,444,262,46,22,63,55,31,22,1,18
JaCoCo Ant Example,net.sourceforge.schemaspy.util,DOMUtil,55,3,4,0,17,1,4,1,2,1
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ResourceWriter,53,10,4,0,12,4,3,3,1,3
JaCoCo Ant Example,net.sourceforge.schemaspy.util,LogFormatter,30,149,7,7,8,32,7,3,0,3
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ResultSetDumper,57,3,8,0,15,1,5,1,1,1
JaCoCo Ant Example,net.sourceforge.schemaspy.util,Dot.ProcessOutputReader,78,0,6,0,17,0,5,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,Inflection,12,370,6,14,4,98,6,17,0,13
JaCoCo Ant Example,net.sourceforge.schemaspy.util,LogFormatter.new ThreadLocal() {...},0,10,0,0,0,3,0,2,0,2
JaCoCo Ant Example,net.sourceforge.schemaspy.util,DbSpecificConfig,95,66,11,1,19,14,7,5,1,5
JaCoCo Ant Example,net.sourceforge.schemaspy.util,LogFormatter.new ThreadLocal() {...},0,7,0,0,0,2,0,2,0,2
JaCoCo Ant Example,net.sourceforge.schemaspy.util,PasswordReader,88,53,11,6,22,22,7,5,0,3
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ConnectionURLBuilder,207,17,16,0,36,4,12,1,4,1
JaCoCo Ant Example,net.sourceforge.schemaspy.util,LineWriter,23,59,0,0,6,19,2,8,2,8
JaCoCo Ant Example,net.sourceforge.schemaspy.util,HtmlEncoder,4,74,1,3,1,14,2,5,1,4
JaCoCo Ant Example,net.sourceforge.schemaspy.util,Version,36,85,8,10,8,22,7,7,1,4
JaCoCo Ant Example,net.sourceforge.schemaspy.util,PasswordReader.Masker,14,32,1,1,6,9,1,3,0,3
JaCoCo Ant Example,net.sourceforge.schemaspy.util,PasswordReader.IOError,0,7,0,0,0,3,0,1,0,1
JaCoCo Ant Example,net.sourceforge.schemaspy.util,DbSpecificOption,0,57,0,0,0,13,0,7,0,7
JaCoCo Ant Example,net.sourceforge.schemaspy.util,Dot.DotFailure,0,7,0,0,0,3,0,1,0,1
JaCoCo Ant Example,net.sourceforge.schemaspy.util,ConsolePasswordReader,59,0,0,0,9,0,2,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.util,CaseInsensitiveMap,25,27,1,1,5,9,3,5,2,5
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,MainFrame,0,227,5,5,0,55,5,7,0,7
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DirectoryCellEditor.new ActionListener() {...},26,9,2,0,4,1,2,1,1,1
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DirectoryCellEditor.new DocumentListener() {...},35,9,0,0,5,1,3,1,3,1
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DbConfigPanel.new TableModelListener() {...},26,6,0,0,5,1,1,1,1,1
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DbConfigPanel.new ItemListener() {...},12,6,2,0,3,1,2,1,1,1
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DbConfigTableModel,102,221,16,19,21,58,13,18,0,13
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DbConfigPanel.new JTable() {...},8,79,0,4,1,15,1,4,1,2
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DirectoryCellEditor,11,136,1,1,1,28,2,3,1,3
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DbConfigPanel,4,79,2,2,1,19,2,3,0,3
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,MainFrame.new WindowAdapter() {...},3,6,0,0,2,1,1,1,1,1
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,DbTypeSelectorModel,34,48,5,3,7,11,5,4,1,4
JaCoCo Ant Example,net.sourceforge.schemaspy.ui,UiUtils,67,3,4,0,13,1,5,1,3,1
JaCoCo Ant Example,randoop,RandoopTest0,5259,30745,1396,1392,508,9481,1394,502,0,502
JaCoCo Ant Example,randoop,RandoopTest2,5494,48856,1985,1961,338,14462,1973,502,0,502
JaCoCo Ant Example,randoop,RandoopTest1,5443,43914,1825,1825,385,13212,1825,502,0,502
JaCoCo Ant Example,randoop,RandoopTest4,2877,26392,1065,1063,121,7936,1064,272,0,272
JaCoCo Ant Example,randoop,RandoopTest3,5701,48853,2038,2000,333,14751,2019,502,0,502
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Database.BasicTableMeta,27,0,0,0,9,0,1,0,1,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,LogicalTable,10,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,InvalidConfigurationException,0,21,0,0,0,9,0,5,0,5
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Database.TableCreator,80,0,4,0,14,0,6,0,4,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,ImpliedForeignKeyConstraint,54,0,0,0,14,0,4,0,4,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,TableColumn.ColumnComparator,22,0,2,0,5,0,3,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Database.ThreadedTableCreator.new Thread() {...},95,0,0,0,10,0,2,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,RailsForeignKeyConstraint,7,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,RoutineParameter,0,21,0,0,0,8,0,4,0,4
JaCoCo Ant Example,net.sourceforge.schemaspy.model,View,111,0,26,0,27,0,17,0,4,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Table.ByColumnIdComparator,36,3,8,0,7,1,5,1,1,1
JaCoCo Ant Example,net.sourceforge.schemaspy.model,TableColumn,664,0,64,0,136,0,73,0,41,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Routine,0,105,0,6,0,32,0,16,0,13
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Database.NameValidator,179,0,16,0,24,0,10,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Table,2199,48,333,3,445,5,228,2,60,2
JaCoCo Ant Example,net.sourceforge.schemaspy.model,RemoteTable,135,0,18,0,24,0,13,0,4,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Database,2137,0,302,0,460,0,189,0,38,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Database.CombinedMap,120,0,14,0,23,0,21,0,14,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,LogicalRemoteTable,10,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,TableIndex,207,0,40,0,52,0,34,0,14,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,ForeignKeyConstraint,307,16,43,1,80,4,47,2,22,2
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Table.new SQLException() {...},35,0,2,0,4,0,2,0,1,0
JaCoCo Ant Example,net.sourceforge.schemaspy.model,EmptySchemaException,0,3,0,0,0,2,0,1,0,1
JaCoCo Ant Example,net.sourceforge.schemaspy.model,ConnectionFailure,0,23,0,0,0,6,0,3,0,3
JaCoCo Ant Example,net.sourceforge.schemaspy.model,Database.new HashSet() {...},12,0,0,0,2,0,2,0,2,0
