GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model,MenuStructureException,0,4,0,0,0,2,0,1,0,1
JaCoCo Ant Example,ch.bluepenguin.email.client,AbstractUniqueIDEvoSuiteTest,0,34,0,0,0,11,0,3,0,3
JaCoCo Ant Example,ch.bluepenguin.email.client,IDGeneratorEvoSuiteTest,0,11,0,0,0,4,0,2,0,2
JaCoCo Ant Example,ch.bluepenguin.email.client,IDGenerator,3,9,0,0,1,1,1,1,1,1
JaCoCo Ant Example,ch.bluepenguin.email.client,AccountEvoSuiteTest,0,32,0,0,0,12,0,4,0,4
JaCoCo Ant Example,ch.bluepenguin.email.client,MailMessage,25,0,0,0,9,0,6,0,6,0
JaCoCo Ant Example,ch.bluepenguin.email.client,FolderEvoSuiteTest,0,96,0,0,0,36,0,10,0,10
JaCoCo Ant Example,ch.bluepenguin.email.client,PersonEvoSuiteTest,0,98,0,0,0,37,0,10,0,10
JaCoCo Ant Example,ch.bluepenguin.email.client,Person,0,39,0,0,0,15,0,10,0,10
JaCoCo Ant Example,ch.bluepenguin.email.client,Account,0,18,0,0,0,6,0,4,0,4
JaCoCo Ant Example,ch.bluepenguin.email.client,AbstractUniqueID,0,42,0,4,0,12,0,6,0,4
JaCoCo Ant Example,ch.bluepenguin.email.client,Folder,0,51,0,0,0,20,0,12,0,12
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu,BluepenguinMenu,130,0,10,0,38,0,9,0,4,0
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model.impl,MenuItemListEvoSuiteTest,6,166,0,0,3,46,0,8,0,8
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model.impl,DefaultMenuItemEvoSuiteTest,0,249,0,0,0,64,0,15,0,15
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model.impl,MenuItemList,2,108,2,10,1,24,2,12,0,8
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model.impl,DefaultMenuModelEvoSuiteTest,5,227,0,0,3,66,0,12,0,12
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model.impl,DefaultMenuModel,7,309,3,37,2,72,3,31,0,14
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.model.impl,DefaultMenuItem,0,61,0,0,0,26,0,16,0,16
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry.helpers,FolderTreeNode,58,0,8,0,19,0,11,0,7,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry.helpers,TreeModelHelperEvoSuiteTest,8,0,0,0,3,0,2,0,2,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry.helpers,TreeModelHelper,101,0,4,0,27,0,6,0,4,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry.helpers,DisplayHelperEvoSuiteTest,82,0,0,0,28,0,6,0,6,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry.helpers,DisplayHelper,64,0,4,0,17,0,9,0,7,0
JaCoCo Ant Example,ch.bluepenguin.email.client.cache,MailCache,172,0,0,0,36,0,6,0,6,0
JaCoCo Ant Example,ch.bluepenguin.email.client.cache,HierarchicalElement,11,0,0,0,4,0,2,0,2,0
JaCoCo Ant Example,ch.bluepenguin.email.client.service.impl,EmailFacadeStateEvoSuiteTest,0,131,0,0,0,35,0,7,0,7
JaCoCo Ant Example,ch.bluepenguin.email.client.service.impl,DummyEmailFacadeImpl,250,6,4,0,46,2,13,1,11,1
JaCoCo Ant Example,ch.bluepenguin.email.client.service.impl,EmailFacadeState,0,80,0,10,0,24,0,11,0,6
JaCoCo Ant Example,ch.bluepenguin.email.client.service.impl,EmailFacadeImpl,1025,0,64,0,208,0,57,0,25,0
JaCoCo Ant Example,ch.bluepenguin.email.client.service.impl,DummyEmailFacadeImplEvoSuiteTest,0,8,0,0,0,3,0,2,0,2
JaCoCo Ant Example,ch.bluepenguin.email.aop,DebugAfterReturnAdvice,89,0,4,0,11,0,6,0,4,0
JaCoCo Ant Example,ch.bluepenguin.email.aop,FormatterMethodAdvice,55,0,4,0,12,0,4,0,2,0
JaCoCo Ant Example,ch.bluepenguin.email.client.service,EmailFacadeException,10,0,0,0,4,0,3,0,3,0
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.renderer.impl,AbstractMenuItemRendererEvoSuiteTest,0,8,0,0,0,3,0,2,0,2
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.renderer.impl,DefaultMenuItemRendererEvoSuiteTest,0,8,0,0,0,3,0,2,0,2
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.renderer.impl,GenericMarkupMenuItemRenderer,61,3,6,0,16,2,8,1,5,1
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.renderer.impl,DirectLinkMenuItemRendererEvoSuiteTest,0,8,0,0,0,3,0,2,0,2
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.renderer.impl,DirectLinkMenuItemRenderer,61,3,2,0,19,2,5,1,4,1
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.renderer.impl,GenericMarkupMenuItemRendererEvoSuiteTest,0,8,0,0,0,3,0,2,0,2
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.renderer.impl,HyperlinkMenuItemRenderer,36,7,2,0,12,4,3,2,2,2
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.renderer.impl,DefaultMenuItemRenderer,16,3,2,0,5,2,2,1,1,1
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.renderer.impl,AbstractMenuItemRenderer,20,3,0,0,9,2,3,1,3,1
JaCoCo Ant Example,ch.bluepenguin.tapestry.components.menu.renderer.impl,HyperlinkMenuItemRendererEvoSuiteTest,0,8,0,0,0,3,0,2,0,2
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry,Home,14,0,0,0,5,0,2,0,2,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry,SpringEngine,28,0,2,0,8,0,3,0,2,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry,MessageList,206,0,18,0,45,0,17,0,8,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry,VisitEvoSuiteTest,0,25,0,0,0,9,0,3,0,3
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry,MessageView,172,0,8,0,53,0,17,0,13,0
JaCoCo Ant Example,ch.bluepenguin.email.client.tapestry,Visit,0,10,0,0,0,4,0,3,0,3
